"id","name","namee"
"1","شقة",""
"2","شقه صغيرة ( ملحق )",""
"3","غرفه صغيرة",""
"4","محل",""
"5","فيلا",""
"6","برج اتصالات",""
"7","فيلا - دور ارضي",""
"8","فيلا - دور علوي",""
"9","مستودع","مستودع"
"10","حضانة",""
