"ID","BranchId","UserID","RenterID","RenterID2","ContNo","Remark","RecoedDate","RecoedDateH","StrDate","FromdateH","EndDate","TodateH","NoteSerial","Water","Electricity","Addval"
"1","1","1","115","72","7","","10/24/2018 12:00:00 AM","1440/02/14","10/24/2018 12:00:00 AM","1440/02/14","10/24/2018 12:00:00 AM","1440/02/14","118100004","0","0","0"
"2","1","1","118","370","20","تنازل المستاجر بندر الى عبدالله القحطانى فى 3-8-19","8/3/2019 12:00:00 AM","1440/12/02","2/7/2019 12:00:00 AM","1440/12/02","8/3/2019 12:00:00 AM","1441/12/12","119020002","0","0","0"
"3","1","1","184","385","140","تغير اسم الكفيل من عواطف منور الى موسسه درعه عايض ","8/2/2019 12:00:00 AM","1440/12/01","2/5/2019 12:00:00 AM","1440/05/30","1/25/2020 12:00:00 AM","1441/05/30","119020015","0","0","0"
"4","1","1","93","408","269","عمل عقد ايجار موحد للمستاجر الجديد حمود المتواجد ","12/4/2019 12:00:00 AM","1441/04/07","6/4/2019 12:00:00 AM","1440/10/01","12/4/2019 12:00:00 AM","1441/04/07","119060031","0","0","0"
