"ID","ExpID","ExpDetails","UnitID","Valu","TotalPayed"
"3","2334","3175","10","593",""
"17","2363","3228","319","1856",""
"18","2363","3229","375","1664",""
"19","2363","3230","382","810",""
"21","2367","3234","175","391",""
"22","2367","3235","175","313",""
"23","2372","3238","130","492",""
"24","2372","3239","113","492",""
"25","2373","3240","114","674",""
"26","2373","3241","114","10",""
