"ID","UnitNo","UnitStatus","ContNo","FilterNo","NoteID","OrderMaint","LocOrderMaint","Des","RecDate","RecDateH","BranchId","CusID"
"75","33","1","2","","","","","  تم عمل عقد رقم  
119040001يبدأ من  
1440/08/16الموافق21/04/2019
وينتهي 
1441/02/16الموافق15/10/2019
قيمة العقد 9150
 قيمة السعي 
 قيمة التامين 
 قيمة المياه 
 قيمة الكهرباء 
 قيمة الخدمات 
 قيمة سعي خارجي 
","4/21/2019 12:00:00 AM","1440/08/16","1","103"
"76","31","1","1","","","","","  تم عمل عقد رقم  
119060001يبدأ من  
1440/10/15الموافق18/06/2019
وينتهي 
1441/10/27الموافق18/06/2020
قيمة العقد 16300
 قيمة السعي 
 قيمة التامين 
 قيمة المياه 
 قيمة الكهرباء 
 قيمة الخدمات 
 قيمة سعي خارجي 
","6/18/2019 12:00:00 AM","1440/10/15","1","5"
"78","36","1","4","","","","","  تم عمل عقد رقم  
119040002يبدأ من  
1440/07/26الموافق01/04/2019
وينتهي 
1441/08/08الموافق01/04/2020
قيمة العقد 18300
 قيمة السعي 
 قيمة التامين 
 قيمة المياه 
 قيمة الكهرباء 
 قيمة الخدمات 
 قيمة سعي خارجي 
","4/1/2019 12:00:00 AM","1440/07/26","1","185"
"80","28","1","6","","","","","  تم عمل عقد رقم  
119060002يبدأ من  
1440/10/15الموافق18/06/2019
وينتهي 
1441/10/27الموافق18/06/2020
قيمة العقد 14285.72
 قيمة السعي 
 قيمة التامين 
 قيمة المياه 
 قيمة الكهرباء 
 قيمة الخدمات 
 قيمة سعي خارجي 
","6/18/2019 12:00:00 AM","1440/10/15","1","34"
"81","48","1","7","","","","","  تم عمل عقد رقم  
119010002يبدأ من  
1440/04/27الموافق04/01/2019
وينتهي 
1440/07/27الموافق02/04/2019
قيمة العقد 4500
 قيمة السعي 
 قيمة التامين 
 قيمة المياه 
 قيمة الكهرباء 
 قيمة الخدمات 
 قيمة سعي خارجي 
","1/4/2019 12:00:00 AM","1440/04/27","1","75"
"83","50","1","8","","","","","  تم عمل عقد رقم  
119060003يبدأ من  
1440/10/05الموافق08/06/2019
وينتهي 
1441/04/11الموافق08/12/2019
قيمة العقد 8150
 قيمة السعي 
 قيمة التامين 
 قيمة المياه 
 قيمة الكهرباء 
 قيمة الخدمات 
 قيمة سعي خارجي 
","6/8/2019 12:00:00 AM","1440/10/05","1","79"
"85","54","1","10","","","","","  تم عمل عقد رقم  
119040003يبدأ من  
1440/08/01الموافق06/04/2019
وينتهي 
1441/08/13الموافق06/04/2020
قيمة العقد 14300
 قيمة السعي 
 قيمة التامين 
 قيمة المياه 
 قيمة الكهرباء 
 قيمة الخدمات 
 قيمة سعي خارجي 
","4/6/2019 12:00:00 AM","1440/08/01","1","99"
"86","55","1","11","","","","","  تم عمل عقد رقم  
119050002يبدأ من  
1440/09/12الموافق16/05/2019
وينتهي 
1441/03/11الموافق08/11/2019
قيمة العقد 7150
 قيمة السعي 
 قيمة التامين 
 قيمة المياه 
 قيمة الكهرباء 
 قيمة الخدمات 
 قيمة سعي خارجي 
","5/16/2019 12:00:00 AM","1440/09/12","1","106"
"88","47","1","12","","","","","  تم عمل عقد رقم  
119040004يبدأ من  
1440/07/28الموافق03/04/2019
وينتهي 
1441/01/28الموافق27/09/2019
قيمة العقد 3250
 قيمة السعي 
 قيمة التامين 
 قيمة المياه 
 قيمة الكهرباء 
 قيمة الخدمات 
 قيمة سعي خارجي 
","4/3/2019 12:00:00 AM","1440/07/28","1","149"
"89","63","1","13","","","","","  تم عمل عقد رقم  
119030002يبدأ من  
1440/06/28الموافق05/03/2019
وينتهي 
1441/07/11الموافق05/03/2020
قيمة العقد 16300
 قيمة السعي 
 قيمة التامين 
 قيمة المياه 
 قيمة الكهرباء 
 قيمة الخدمات 
 قيمة سعي خارجي 
","3/5/2019 12:00:00 AM","1440/06/28","1","23"
