"ID","ContNo","rate","EmpID","idd","GroupID"
"90","2","100","1","1","1"
"91","1","100","1","1","1"
"93","4","100","1","1","1"
"95","6","100","1","1","1"
"96","7","100","1","1","1"
"98","8","100","1","1","1"
"100","10","100","1","1","1"
"101","11","100","1","1","1"
"103","12","100","1","1","1"
"104","13","100","1","1","1"
