"ID","NoteID","rate","EmpID","valu","Type","idd","GroupID","ValueAmount"
"1","1","100","1","0","0","0","0",""
"2","202","100","1","0","1","1","1",""
"5","203","100","1","0","1","1","1",""
"7","228","100","1","0","1","1","1",""
"8","227","100","1","0","0","0","0",""
"9","318","100","1","0","1","1","1",""
"15","642","100","1","0","1","1","1",""
"18","682","100","1","12500","0","0","0",""
"19","683","100","1","2500","0","0","0",""
"20","684","100","1","13500","0","0","0",""
