"id","name","namee"
"0","  شاغرة        ","           empty  "
"1","  مؤجر        ","              Rente  "
"2","محجوز "," Reserved  "
"3","صيانه"," Maintenance  "
"4","مقاولات "," Construction  "
"5","شئون قانونية "," Legals  "
