"ID","UnitNo","UnitStatus","ContNo","FilterNo","NoteID","OrderMaint","LocOrderMaint","Des","RecDate","RecDateH","BranchId","CusID"
"2","6","1","","","1","","","تم عمل سندقبض لعقد رقم 
T0001
  تاريخ السند ميلادي 
12/03/2017
  تاريخ السند هجري 
1438/06/14
    قيمة المقبوضات 
659450","3/12/2017 12:00:00 AM","1438/06/14","1","6"
"33","8","1","3","","","","","  تم عمل عقد رقم  
11706001يبدأ من  
1438/09/12الموافق06/06/2017
وينتهي 
1442/02/11الموافق28/09/2020
قيمة العقد 526687.5
 قيمة السعي 
 قيمة التامين 
 قيمة المياه 
 قيمة الكهرباء 
 قيمة الخدمات 
 قيمة سعي خارجي 
","6/6/2017 12:00:00 AM","1438/09/12","1","6"
"42","18","1","13","","","","","  تم عمل عقد رقم  
11702001يبدأ من  
1438/05/15الموافق11/02/2017
وينتهي 
1439/05/14الموافق30/01/2018
قيمة العقد 651200
 قيمة السعي 
 قيمة التامين 
 قيمة المياه 
 قيمة الكهرباء 
 قيمة الخدمات 
 قيمة سعي خارجي 
","2/11/2017 12:00:00 AM","1438/05/15","1","17"
"226","157","1","107","","","","","  تم عمل عقد رقم  
11607001يبدأ من  
1438/07/08الموافق01/07/2016
وينتهي 
1438/10/06الموافق30/06/2017
قيمة العقد 150000
 قيمة السعي 
 قيمة التامين 
 قيمة المياه 
 قيمة الكهرباء 
 قيمة الخدمات 
 قيمة سعي خارجي 
","7/1/2016 12:00:00 AM","1437/09/26","1","110"
"234","149","1","19","","","","","  تم عمل عقد رقم  
11701001يبدأ من  
1438/04/18الموافق16/01/2017
وينتهي 
1439/04/17الموافق04/01/2018
قيمة العقد 1000000
 قيمة السعي 
 قيمة التامين 
 قيمة المياه 
 قيمة الكهرباء 
 قيمة الخدمات 
 قيمة سعي خارجي 
","1/16/2017 12:00:00 AM","1438/04/18","1","50"
"236","158","1","110","","","","","  تم عمل عقد رقم  
11606001يبدأ من  
1437/09/13الموافق18/06/2016
وينتهي 
1438/09/12الموافق06/06/2017
قيمة العقد 75450
 قيمة السعي 
 قيمة التامين 
 قيمة المياه 
 قيمة الكهرباء 
 قيمة الخدمات 
 قيمة سعي خارجي 
","6/18/2016 12:00:00 AM","1437/09/13","1","113"
"248","170","1","121","","","","","  تم عمل عقد رقم  
11707001يبدأ من  
1438/07/09الموافق01/07/2017
وينتهي 
1439/10/17الموافق30/06/2018
قيمة العقد 30000
 قيمة السعي 
 قيمة التامين 
 قيمة المياه 
 قيمة الكهرباء 
 قيمة الخدمات 
 قيمة سعي خارجي 
","7/1/2017 12:00:00 AM","1438/10/07","1","124"
"263","38","1","31","","","","","  تم عمل عقد رقم  
11610001يبدأ من  
1438/01/01الموافق02/10/2016
وينتهي 
1438/12/30الموافق21/09/2017
قيمة العقد 50000
 قيمة السعي 
 قيمة التامين 
 قيمة المياه 
 قيمة الكهرباء 
 قيمة الخدمات 5000
 قيمة سعي خارجي 
","10/2/2016 12:00:00 AM","1438/01/01","1","30"
"318","23","1","17","","","","","  تم عمل عقد رقم  
11705001يبدأ من  
1438/06/24الموافق01/05/2017
وينتهي 
1439/08/15الموافق30/04/2018
قيمة العقد 280700
 قيمة السعي 
 قيمة التامين 
 قيمة المياه 
 قيمة الكهرباء 
 قيمة الخدمات 
 قيمة سعي خارجي 
","5/1/2017 12:00:00 AM","1438/08/05","1","7"
"331","109","1","21","","","","","  تم عمل عقد رقم  
11703001يبدأ من  
1438/06/29الموافق15/03/2017
وينتهي 
1439/06/27الموافق14/03/2018
قيمة العقد 60000
 قيمة السعي 
 قيمة التامين 
 قيمة المياه 
 قيمة الكهرباء 
 قيمة الخدمات 
 قيمة سعي خارجي 
","3/15/2017 12:00:00 AM","1438/06/17","1","55"
