"Id","Code","ArName","EnName","IsActive","IsDeleted","UserId","Image","Notes"
"7","1","مطبخ","","True","False","1","",""
"8","2","غرفة","","True","False","1","",""
"9","3","مساحة تخزين","","True","False","1","",""
