=================================================================
DATABASE SCHEMAS FOR INCOMPLETE PROJECTS & EXTRACTS
=================================================================

-----------------------------------------------------------------
TABLE: projects
-----------------------------------------------------------------
ColumnName | DataType | MaxLen | IsNullable | DefaultValue
-----------------------------------------------------------------
ColumnName | DataType | MaxLen | IsNullable | DefaultValue
--------------------------------------------------------
id | int |  | NO | 
bill_date | datetime |  | YES | 
project_no | nvarchar | 50 | YES | 
project_name | nvarchar | 4000 | YES | 
End_user_name | nvarchar | 4000 | YES | 
Sub_user_name | nvarchar | 50 | YES | 
End_user_account | nvarchar | 4000 | YES | 
Sub_user_account | nvarchar | 4000 | YES | 
bill_to | nvarchar | 4000 | YES | 
bill_type | nvarchar | 50 | YES | 
revenue_account | nvarchar | 50 | YES | 
note_id | int |  | YES | 
total | money |  | YES | 
NoteSerial | varchar | 500 | YES | 
Branch_NO | int |  | YES | 
dueDate | datetime |  | YES | 
subContractorId | int |  | YES | 
discount1ID | int |  | YES | 
discount2ID | int |  | YES | 
discount1value | float |  | YES | 
discount2value | float |  | YES | 
Remarks | nvarchar | 4000 | YES | 
ManualNO | nvarchar | 4000 | YES | 
duedate1 | datetime |  | YES | 
discount | float |  | YES | 
Results | float |  | YES | 
advancedPayment | float |  | YES | 
UserID | int |  | YES | 
BillNo | int |  | YES | 
Period | int |  | YES | 
PeriodType | int |  | YES | 
StartDate | datetime |  | YES | 
Remarks2 | nvarchar | 4000 | YES | 
AccountUnderImp | nvarchar | 55 | YES | 
UnderImp | int |  | YES | 
totalPayed | int |  | YES | 
NoteSerial1 | nvarchar | 255 | YES | 
Prefix | nvarchar | 50 | YES | 
FATYou | float |  | YES | 
FATValue | float |  | YES | 
TotalValue | float |  | YES | 
AccountCodeVat | nvarchar | 55 | YES | 
ExPercen | float |  | YES | 
ExPercenID | int |  | YES | 
PreVAT | float |  | YES | 
PreBalaValue | float |  | YES | 
PreBalaVAT | float |  | YES | 
