type_desc|schema_name|object_name|ref_DEV|ref_Transactions|ref_Transaction_Details|ref_Notes|ref_Payments
SQL_STORED_PROCEDURE|dbo|DiscountDetails_Report|0|1|0|1|0
SQL_STORED_PROCEDURE|dbo|GetSerialAuditReport|0|1|1|0|0
SQL_STORED_PROCEDURE|dbo|RPT_CloseReportSubDetails|0|1|1|1|0
SQL_STORED_PROCEDURE|dbo|RPT_CloseReportTotal|1|1|1|1|0
SQL_STORED_PROCEDURE|dbo|RPT_CloseReportTotal_ByBranchDay|1|1|1|1|0
SQL_STORED_PROCEDURE|dbo|RPT_CloseReportTotal_VB|0|1|1|1|0
SQL_STORED_PROCEDURE|dbo|RPT_CloseReportTotalMini|1|1|1|1|0
SQL_STORED_PROCEDURE|dbo|RPT_SalesSummary_Main|0|1|1|0|0
SQL_STORED_PROCEDURE|dbo|usp_CriticalRecovery_AnalyzeInvoices|0|1|0|1|0
SQL_STORED_PROCEDURE|dbo|usp_CriticalRecovery_ApproveAndExecute|1|1|0|1|0
SQL_STORED_PROCEDURE|dbo|usp_CriticalRecovery_Restore|0|1|0|0|0
SQL_STORED_PROCEDURE|dbo|usp_DynamicErpVoucher_Accounting|1|0|0|1|0
SQL_STORED_PROCEDURE|dbo|usp_DynamicErpVoucher_Allocations|0|0|0|1|0
SQL_STORED_PROCEDURE|dbo|usp_DynamicErpVoucher_Delete|1|0|0|1|0
SQL_STORED_PROCEDURE|dbo|usp_DynamicErpVoucher_EditHeader|0|0|0|1|0
SQL_STORED_PROCEDURE|dbo|usp_DynamicErpVoucher_Header|0|0|0|1|0
SQL_STORED_PROCEDURE|dbo|usp_DynamicErpVoucher_Post|1|0|0|1|0
SQL_STORED_PROCEDURE|dbo|usp_DynamicErpVoucher_RelatedNotes|0|0|0|1|0
SQL_STORED_PROCEDURE|dbo|usp_DynamicErpVoucher_Save|1|0|0|1|0
SQL_STORED_PROCEDURE|dbo|usp_DynamicErpVoucher_Search|1|0|0|1|0
SQL_STORED_PROCEDURE|dbo|usp_Fix_Transactions_Duplicates_9_21|0|1|0|1|0
SQL_STORED_PROCEDURE|dbo|usp_Fix_Transactions_Duplicates_Not_9_21|0|1|0|1|0
SQL_STORED_PROCEDURE|dbo|usp_GetNextSerial_V2|0|1|0|1|0
SQL_STORED_PROCEDURE|dbo|usp_GetNotesSerial_Counter|0|0|0|1|0
SQL_STORED_PROCEDURE|dbo|usp_GetVoucherSerial_Complete_Counter|0|1|0|1|0
SQL_STORED_PROCEDURE|dbo|usp_GetVoucherSerial_Counter|0|0|0|1|0
SQL_STORED_PROCEDURE|dbo|usp_GetVoucherSerial_WithAppLock|0|0|0|1|0
SQL_STORED_PROCEDURE|dbo|usp_Notes_coding_V2|0|0|0|1|0
SQL_STORED_PROCEDURE|dbo|usp_Notes_coding_V2_New|0|0|0|1|0
SQL_STORED_PROCEDURE|dbo|usp_Notes_coding_V2_WorkDone|0|0|0|1|0
SQL_STORED_PROCEDURE|dbo|usp_POS_Accounting_Report|1|0|0|1|0
SQL_STORED_PROCEDURE|dbo|usp_POS_AllocateTransactionId|0|1|0|0|0
SQL_STORED_PROCEDURE|dbo|usp_POS_CancelInvoice|1|1|0|1|0
SQL_STORED_PROCEDURE|dbo|usp_POS_CustodyFundingRefund_GetAccountBalance|1|0|0|0|0
SQL_STORED_PROCEDURE|dbo|usp_POS_CustodyFundingRefund_GetEmployeeCustodyAccount|1|0|0|0|0
SQL_STORED_PROCEDURE|dbo|usp_POS_Dashboard_SmartInsights|0|1|1|0|0
SQL_STORED_PROCEDURE|dbo|usp_POS_Dashboard_Summary|0|1|1|0|0
SQL_STORED_PROCEDURE|dbo|usp_POS_DashboardSnapshot_GenerateDaily|0|1|1|0|0
SQL_STORED_PROCEDURE|dbo|usp_POS_FI_AbnormalJournalDetection|1|0|0|0|0
SQL_STORED_PROCEDURE|dbo|usp_POS_FI_AccountingHealthDashboard|1|0|0|1|0
SQL_STORED_PROCEDURE|dbo|usp_POS_FI_BranchPerformance|1|1|0|0|0
SQL_STORED_PROCEDURE|dbo|usp_POS_FI_CashFlowAnalysis|1|0|0|0|0
SQL_STORED_PROCEDURE|dbo|usp_POS_FI_CfoDashboard|1|1|0|1|0
SQL_STORED_PROCEDURE|dbo|usp_POS_FI_CustodyDiagnostics|1|0|0|0|0
SQL_STORED_PROCEDURE|dbo|usp_POS_FI_EmployeeReceivableDiagnostics|1|0|0|1|0
SQL_STORED_PROCEDURE|dbo|usp_POS_FI_ExpenseAnalysis|1|0|0|0|0
SQL_STORED_PROCEDURE|dbo|usp_POS_FI_InventoryProfitability|0|1|1|0|0
SQL_STORED_PROCEDURE|dbo|usp_POS_FI_JournalDetails|1|0|0|1|0
