object_type|schema_name|object_name
SQL_STORED_PROCEDURE|dbo|RPT_CloseReportTotal_ByBranchDay
SQL_STORED_PROCEDURE|dbo|RPT_CloseReportTotal_ByBranchDay
SQL_STORED_PROCEDURE|dbo|RPT_CloseReportTotal_ByBranchDay
SQL_STORED_PROCEDURE|dbo|RPT_CloseReportTotal_VB
SQL_STORED_PROCEDURE|dbo|RPT_CloseReportTotal_VB
SQL_STORED_PROCEDURE|dbo|RPT_CloseReportTotal_VB
SQL_STORED_PROCEDURE|dbo|RPT_CloseReportTotalMini
SQL_STORED_PROCEDURE|dbo|RPT_CloseReportTotalMini
SQL_STORED_PROCEDURE|dbo|RPT_CloseReportTotalMini
SQL_STORED_PROCEDURE|dbo|RPT_CloseReportTotalMini
SQL_STORED_PROCEDURE|dbo|RPT_SalesSummary_Main
SQL_STORED_PROCEDURE|dbo|RPT_SalesSummary_Main
SQL_STORED_PROCEDURE|dbo|usp_CriticalRecovery_ApproveAndExecute
SQL_STORED_PROCEDURE|dbo|usp_CriticalRecovery_ApproveAndExecute
SQL_STORED_PROCEDURE|dbo|usp_CriticalRecovery_ApproveAndExecute
SQL_STORED_PROCEDURE|dbo|usp_DynamicErpVoucher_Accounting
SQL_STORED_PROCEDURE|dbo|usp_DynamicErpVoucher_Allocations
SQL_STORED_PROCEDURE|dbo|usp_DynamicErpVoucher_Delete
SQL_STORED_PROCEDURE|dbo|usp_DynamicErpVoucher_Delete
SQL_STORED_PROCEDURE|dbo|usp_DynamicErpVoucher_EditHeader
SQL_STORED_PROCEDURE|dbo|usp_DynamicErpVoucher_Header
SQL_STORED_PROCEDURE|dbo|usp_DynamicErpVoucher_Post
SQL_STORED_PROCEDURE|dbo|usp_DynamicErpVoucher_Post
SQL_STORED_PROCEDURE|dbo|usp_DynamicErpVoucher_RelatedNotes
SQL_STORED_PROCEDURE|dbo|usp_DynamicErpVoucher_Save
SQL_STORED_PROCEDURE|dbo|usp_DynamicErpVoucher_Save
SQL_STORED_PROCEDURE|dbo|usp_DynamicErpVoucher_Search
SQL_STORED_PROCEDURE|dbo|usp_DynamicErpVoucher_Search
SQL_STORED_PROCEDURE|dbo|usp_Fix_Transactions_Duplicates_9_21
SQL_STORED_PROCEDURE|dbo|usp_Fix_Transactions_Duplicates_9_21
SQL_STORED_PROCEDURE|dbo|usp_Fix_Transactions_Duplicates_Not_9_21
SQL_STORED_PROCEDURE|dbo|usp_GetNextSerial_V2
SQL_STORED_PROCEDURE|dbo|usp_GetNotesSerial_Counter
SQL_STORED_PROCEDURE|dbo|usp_GetVoucherSerial_Counter
SQL_STORED_PROCEDURE|dbo|usp_Notes_coding_V2_New
SQL_STORED_PROCEDURE|dbo|usp_POS_Accounting_Report
SQL_STORED_PROCEDURE|dbo|usp_POS_Accounting_Report
SQL_STORED_PROCEDURE|dbo|usp_POS_AllocateTransactionId
SQL_STORED_PROCEDURE|dbo|usp_POS_CancelInvoice
SQL_STORED_PROCEDURE|dbo|usp_POS_CancelInvoice
SQL_STORED_PROCEDURE|dbo|usp_POS_CancelInvoice
SQL_STORED_PROCEDURE|dbo|usp_POS_CustodyFundingRefund_GetAccountBalance
SQL_STORED_PROCEDURE|dbo|usp_POS_CustodyFundingRefund_GetEmployeeCustodyAccount
SQL_STORED_PROCEDURE|dbo|usp_POS_Dashboard_SmartInsights
SQL_STORED_PROCEDURE|dbo|usp_POS_Dashboard_SmartInsights
SQL_STORED_PROCEDURE|dbo|usp_POS_Dashboard_Summary
SQL_STORED_PROCEDURE|dbo|usp_POS_Dashboard_Summary
SQL_STORED_PROCEDURE|dbo|usp_POS_DashboardSnapshot_GenerateDaily
SQL_STORED_PROCEDURE|dbo|usp_POS_DashboardSnapshot_GenerateDaily
SQL_STORED_PROCEDURE|dbo|usp_POS_FI_AbnormalJournalDetection
SQL_STORED_PROCEDURE|dbo|usp_POS_FI_AccountingHealthDashboard
SQL_STORED_PROCEDURE|dbo|usp_POS_FI_BranchPerformance
SQL_STORED_PROCEDURE|dbo|usp_POS_FI_BranchPerformance
SQL_STORED_PROCEDURE|dbo|usp_POS_FI_CashFlowAnalysis
SQL_STORED_PROCEDURE|dbo|usp_POS_FI_CfoDashboard
SQL_STORED_PROCEDURE|dbo|usp_POS_FI_CfoDashboard
SQL_STORED_PROCEDURE|dbo|usp_POS_FI_CustodyDiagnostics
SQL_STORED_PROCEDURE|dbo|usp_POS_FI_EmployeeReceivableDiagnostics
SQL_STORED_PROCEDURE|dbo|usp_POS_FI_ExpenseAnalysis
SQL_STORED_PROCEDURE|dbo|usp_POS_FI_InventoryProfitability
SQL_STORED_PROCEDURE|dbo|usp_POS_FI_InventoryProfitability
SQL_STORED_PROCEDURE|dbo|usp_POS_FI_JournalDetails
SQL_STORED_PROCEDURE|dbo|usp_POS_FI_RootCauseAnalyzer
SQL_STORED_PROCEDURE|dbo|usp_POS_FI_SalesCollectionsAnalysis
SQL_STORED_PROCEDURE|dbo|usp_POS_ImportStockTransferSerials
SQL_STORED_PROCEDURE|dbo|usp_POS_ImportStockTransferSerials
SQL_STORED_PROCEDURE|dbo|usp_POS_Journal_Search
SQL_STORED_PROCEDURE|dbo|usp_POS_Journal_Search
SQL_STORED_PROCEDURE|dbo|usp_POS_KycBank_Export
SQL_STORED_PROCEDURE|dbo|usp_POS_KycCustomers_Search
SQL_STORED_PROCEDURE|dbo|usp_POS_KycFollowUp_Report
SQL_STORED_PROCEDURE|dbo|usp_POS_Payments_Search
SQL_STORED_PROCEDURE|dbo|usp_POS_RebuildDailyClosingSummary
SQL_STORED_PROCEDURE|dbo|usp_POS_Report_NonWebLoginUsers
SQL_STORED_PROCEDURE|dbo|usp_POS_Report_Run
SQL_STORED_PROCEDURE|dbo|usp_POS_Report_Run
SQL_STORED_PROCEDURE|dbo|usp_POS_Report_Run
SQL_STORED_PROCEDURE|dbo|usp_POS_Report_RunClosing
SQL_STORED_PROCEDURE|dbo|usp_POS_Report_RunClosing
SQL_STORED_PROCEDURE|dbo|usp_POS_Report_RunOperationalSales
SQL_STORED_PROCEDURE|dbo|usp_POS_Report_StoreSerials
SQL_STORED_PROCEDURE|dbo|usp_POS_Report_StoreSerials
SQL_STORED_PROCEDURE|dbo|usp_POS_Report_WebInvoices
SQL_STORED_PROCEDURE|dbo|usp_POS_SalesInvoices_Search
SQL_STORED_PROCEDURE|dbo|usp_POS_SalesInvoices_Search
SQL_STORED_PROCEDURE|dbo|usp_POS_SalesRepresentativesPerformanceDashboard
SQL_STORED_PROCEDURE|dbo|usp_POS_SavePurchaseInvoice
SQL_STORED_PROCEDURE|dbo|usp_POS_SavePurchaseInvoice
SQL_STORED_PROCEDURE|dbo|usp_POS_SavePurchaseInvoice
SQL_STORED_PROCEDURE|dbo|usp_POS_SavePurchaseInvoice
SQL_STORED_PROCEDURE|dbo|usp_POS_SaveStockTransfer
SQL_STORED_PROCEDURE|dbo|usp_POS_SaveStockTransfer
SQL_STORED_PROCEDURE|dbo|usp_POS_SaveStockTransfer
SQL_STORED_PROCEDURE|dbo|usp_POS_SaveStockTransfer
SQL_STORED_PROCEDURE|dbo|usp_POS_SaveTransaction
