"TableName","ColumnName","DataType"
"Notes1","RetrunNoteID","int"
"Notes1","NoteCashingType","int"
"Notes1","NotePosted","int"
"Notes1","note_value_by_characters","nvarchar"
"Notes1","notes_all","int"
"Notes1","NoteSerial1","float"
"Notes1","general_des_notes","varchar"
"Notes1","NoteDateH","nvarchar"
"Notes1","installIDCont","nvarchar"
"OPERATIONS","INSTALLMENTS_NO","int"
"OPERATIONS","INSTALLMENTS_TOTAL","float"
"OPERATIONS","notes","nvarchar"
"opr_employee_details","ContProjSalar","int"
"project_bill_details","qtySubContractor","float"
"project_bill_details","costSubContractor","float"
"project_bill_details","Pre_Quantity_Contr","float"
"project_billl","note_id","int"
"project_billl","NoteSerial","varchar"
"project_billl","subContractorId","int"
"project_billl","NoteSerial1","nvarchar"
"project_billl","InstructionNote","nvarchar"
"project_billl","paymentnote","nvarchar"
"ProjectBillBuy","TxtNoteSerial","nvarchar"
"ProjectBillBuy","NoteType","int"
"ProjectBillBuy","noteid","int"
"ProjectBillBuy","NoteSerial1","int"
"ProjectBillBuy1","TxtNoteSerial","nvarchar"
"ProjectBillBuy1","NoteType","int"
"projects","sub_contractor_Account","varchar"
"projects","sub_contractor_name","varchar"
"projects","Contract_type","nvarchar"
"projects","Contract_type_name","nvarchar"
"projects","sub_contractor_id","nvarchar"
"projects","JobeContractorID","int"
"projects","ContractNo","nvarchar"
"projects","NoteSerial","nvarchar"
"projects","NoteId","int"
"projects_des","sub_contractor_id","float"
"projects_des","qtySubContractor","float"
"projects_des","costSubContractor","float"
"QryRepEmpAllValues","Notes","ntext"
"ReceiptQest","NoteID","int"
"ReceiptQest","NoteSerial","nvarchar"
"ReceiptQest","NoteSerial1","float"
"ReceiptQest","OldNoteSerial1","float"
"ReceiptQest","NoteCashingType","int"
"ReciveDetails","NoteSerial1","nvarchar"
"ReciveDetails","NoteCashingType","int"
"ReciveDetails","NoteSerial","nvarchar"
"salary_voucher","NoteID","varchar"
"ShiftRec","NoteDone","nvarchar"
"ShiftRec","NoteStill","nvarchar"
"ShiftRec","NoteLate","nvarchar"
"Shipments_details","Container_no","varchar"
"SubcontractorContract","NoteSerial","nvarchar"
"SubcontractorContract","note_id","int"
"SubcontractorContract","subContractorId","int"
"SubcontractorContract","NoteSerial1","int"
"SubcontractorContract2","qtySubContractor","float"
"SubcontractorContract2","costSubContractor","float"
"SubcontractorContract2","Pre_Quantity_Contr","float"
"Subject_doc","contract_no","int"
"Subject_doc","ContNo","int"
"Subject_doc","NoteSerial","int"
"subjects_images","ContNo","int"
"subjects_images","NoteSerial","int"
"Tbl_BusinessDialy","BD_Notes","nvarchar"
"Tbl_BusinessDialy","TradingContractID","int"
"TBL_measureMent","WCNote1","nvarchar"
"TBL_measureMent","laundryNote1","nvarchar"
"TBL_measureMent","laundryareaNote1","nvarchar"
"TBL_measureMent","MainHallNote1","nvarchar"
"TBL_measureMent","kitchenNote1","nvarchar"
"TBL_measureMent","BoardNote1","nvarchar"
"TBL_measureMent","MaklatNote1","nvarchar"
"TBL_measureMent","EntranceNote1","nvarchar"
"TBL_measureMent","DorgNote1","nvarchar"
"TBL_measureMent","ElevatorNote1","nvarchar"
"TBL_measureMent","HoshNote1","nvarchar"
"TBL_measureMent","MainRoomNote1","nvarchar"
"TBL_measureMent","Na3laNote1","nvarchar"
"TBL_measureMent","ClothesNote1","nvarchar"
"TBL_measureMent","ParkingNote1","nvarchar"
"TBL_measureMent","OfficeNote1","nvarchar"
"TBL_measureMent","WCNote2","nvarchar"
"TBL_measureMent","laundryNote2","nvarchar"
"TBL_measureMent","laundryareaNote2","nvarchar"
"TBL_measureMent","MainHallNote2","nvarchar"
"TBL_measureMent","kitchenNote2","nvarchar"
"TBL_measureMent","BoardNote2","nvarchar"
"TBL_measureMent","MaklatNote2","nvarchar"
"TBL_measureMent","EntranceNote2","nvarchar"
"TBL_measureMent","DorgNote2","nvarchar"
"TBL_measureMent","ElevatorNote2","nvarchar"
"TBL_measureMent","HoshNote2","nvarchar"
"TBL_measureMent","MainRoomNote2","nvarchar"
"TBL_measureMent","Na3laNote2","nvarchar"
"TBL_measureMent","ClothesNote2","nvarchar"
"TBL_measureMent","ParkingNote2","nvarchar"
"TBL_measureMent","OfficeNote2","nvarchar"
"TBL_measureMent2","WCNote","nvarchar"
"TBL_measureMent2","laundryNote","nvarchar"
"TBL_measureMent2","laundryareaNote","nvarchar"
"TBL_measureMent2","MainHallNote","nvarchar"
"TBL_measureMent2","kitchenNote","nvarchar"
"TBL_measureMent2","BoardNote","nvarchar"
"TBL_measureMent2","MaklatNote","nvarchar"
"TBL_measureMent2","EntranceNote","nvarchar"
"TBL_measureMent2","DorgNote","nvarchar"
"TBL_measureMent2","ElevatorNote","nvarchar"
"TBL_measureMent2","HoshNote","nvarchar"
"TBL_measureMent2","MainRoomNote","nvarchar"
"TBL_measureMent2","Na3laNote","nvarchar"
"TBL_measureMent2","ClothesNote","nvarchar"
"TBL_measureMent2","ParkingNote","nvarchar"
"TBL_measureMent2","OfficeNote","nvarchar"
"Tbl_TradingContract","TContract_DateH","nvarchar"
"Tbl_TradingContract","TContract_Date","datetime"
"Tbl_TradingContract","TContract_CustID","nvarchar"
"Tbl_TradingContract","NoteID","int"
"Tbl_TradingContract","NoteSerial","int"
"Tbl_TradingContractDet","TContractDet_TContractID","int"
"Tbl_TradingContractDet","TContractDet_specification","nvarchar"
"Tbl_TradingContractDet","TContractDet_UintMeas","nvarchar"
"Tbl_TradingContractDet","TContractDet_Qun","float"
"Tbl_TradingContractDet","TContractDet_SalPrice","float"
"Tbl_TradingContractDet","TContractDet_InstallPrice","float"
"Tbl_TradingContractDet","TContractDet_Value","float"
"Tbl_TradingContractDet","TContractDet_TotalSalPrice","float"
"Tbl_TradingContractDet","TContractDet_TotalInstallPrice","float"
"Tbl_TradingContractDet","TContractDet_DayMeter","int"
"Tbl_TradingContractDet","TContractDet_specificationEn","nvarchar"
"Tbl_TradingContractInv","TradingContractID","int"
"Tbl_TradingContractInv","BD_Notes","nvarchar"
"Tbl_TradingContractInv","NoteID","int"
"Tbl_TradingContractInv","NoteSerial","nvarchar"
"Tbl_TradingContractInv","NoteSerial1","nvarchar"
"Tbl_TradingContractInvDet","InstallPrice","float"
"Tbl_TradingContractInvDet","TotalInstallPrice","float"
"Tbl_TransOrder","TOrder_Notes","nvarchar"
"Tbl_TransOrder","TOrder_DateNote","datetime"
"Tbl_TransOrder","TradingContractID","int"
"TblAccidentReport","IsContrct","int"
"TblAccountIntervals","Allocations","float"
"TblAccountIntervals","Allocations1","float"
"TblAccountsDestributionsIntervals","NoteID","float"
"TblAccountsDestributionsIntervals","NoteSerial","nvarchar"
"TblAccountsDestributionsIntervals","NoteSerial1","nvarchar"
"TblActivateInvestment","NoteSerial","nvarchar"
"TblActivateInvestment","NoteID","int"
"TblAdditionsAssest","NuminstallmTotal","float"
"TblAdditionsAssest","NuminstallmTotal2","float"
"TblAdditionsAssest","NuminstallmExcu","float"
"TblAdditionsAssest","NuminstallmExcu2","float"
"TblAdditionsAssest","NuminstallmRemin","float"
"TblAdditionsAssest","NuminstallmRemin2","float"
"TblAdditionsAssest","NuminstallmCurr","float"
"TblAdditionsAssest","NuminstallmCurr2","float"
"TblAdditionsAssest","NoteSerial","nvarchar"
"TblAdditionsAssest","NoteID","int"
"TblAdditionsAssest","NoteSerial1","nvarchar"
"TblAdvancedHousing","NoteSerial","nvarchar"
"TblAging","NoteSerial1","nvarchar"
"TblAging","NoteSerial","nvarchar"
"TblAging","NoteType","int"
