"DatabaseName","SchemaName","TableName","Rows"
"Adnan","dbo","mowazna_details","0"
"Adnan","dbo","Nationality","12"
"Adnan","dbo","new_members","3"
"Adnan","dbo","NewTempTable","0"
"Adnan","dbo","Notes","18927"
"Adnan","dbo","notes_all","907"
"Adnan","dbo","Notes1","5"
"Adnan","dbo","OPERATION_DETAILS","0"
"Adnan","dbo","OPERATIONS","0"
"Adnan","dbo","OperationsFollow","0"
"Adnan","dbo","OperationsFollowDetails","0"
"Adnan","dbo","opr_Employee","0"
"Adnan","dbo","opr_employee_details","0"
"Adnan","dbo","opr_expenses","0"
"Adnan","dbo","Pmanger","50"
"Adnan","dbo","posdata","0"
"Adnan","dbo","project_bill_details","0"
"Adnan","dbo","project_billl","0"
"Adnan","dbo","project_billl_Month","0"
"Adnan","dbo","project_category","0"
"Adnan","dbo","project_status","4"
"Adnan","dbo","ProjectBillBuy","0"
"Adnan","dbo","ProjectBillBuy1","0"
"Adnan","dbo","ProjectMainDes","0"
"Adnan","dbo","ProJectMofrd","0"
"Adnan","dbo","ProJectMofrdSalar","0"
"Adnan","dbo","projects","16"
"Adnan","dbo","projects_des","33"
"Adnan","dbo","Projectssub","0"
"Adnan","dbo","QryEmpSalDetails","0"
"Adnan","dbo","QryRepEmpAllValues","0"
"Adnan","dbo","ready_to_print","21"
"Adnan","dbo","ReceiptQest","0"
"Adnan","dbo","ReciveDetails","231"
"Adnan","dbo","relations","2"
"Adnan","dbo","renew_member","0"
"Adnan","dbo","salary_voucher","0"
"Adnan","dbo","sanad_dean","1"
"Adnan","dbo","sanad_numbering","249"
"Adnan","dbo","sandat_ked","0"
"Adnan","dbo","sandat_ked_details","0"
"Adnan","dbo","Schoolyears","0"
"Adnan","dbo","ScreenJuncUser","1554"
"Adnan","dbo","Screens","750"
"Adnan","dbo","SendMessage","0"
"Adnan","dbo","services","4"
"Adnan","dbo","SessionDate","0"
"Adnan","dbo","ShiftMaintType","0"
"Adnan","dbo","ShiftRec","0"
"Adnan","dbo","Shipment_mode","3"
"Adnan","dbo","Shipments","0"
"Adnan","dbo","Shipments_details","0"
"Adnan","dbo","SPHTable","161"
"Adnan","dbo","Stables","0"
"Adnan","dbo","STOP_MEMBER_TYPE","3"
"Adnan","dbo","streets","0"
"Adnan","dbo","SubcontractorContract","0"
"Adnan","dbo","SubcontractorContract2","0"
"Adnan","dbo","Subject_doc","955"
"Adnan","dbo","subject_templates","0"
"Adnan","dbo","subjects_images","6"
"Adnan","dbo","Subscription_TYPES","3"
"Adnan","dbo","SuperTech","0"
"Adnan","dbo","Supervisors","0"
"Adnan","dbo","SystemVersion","1"
"Adnan","dbo","Table_Pictures","0"
"Adnan","dbo","takeem","2"
"Adnan","dbo","TbExpensespaidAdvanced","0"
"Adnan","dbo","TbExpensespaidJoin","0"
"Adnan","dbo","TbExpensesprovided","0"
"Adnan","dbo","Tbl_BusinessDialy","0"
"Adnan","dbo","Tbl_BusinessDialyDet","0"
"Adnan","dbo","TBL_measureMent","0"
"Adnan","dbo","TBL_measureMent2","0"
"Adnan","dbo","Tbl_TradingContract","0"
"Adnan","dbo","Tbl_TradingContractDet","0"
"Adnan","dbo","Tbl_TradingContractInv","0"
"Adnan","dbo","Tbl_TradingContractInvDet","0"
"Adnan","dbo","Tbl_TransOrder","0"
"Adnan","dbo","tblAbsent","0"
"Adnan","dbo","TblAcceleratePayment","0"
"Adnan","dbo","TblAcceleratePaymentDet","0"
"Adnan","dbo","TblAccidentReport","0"
"Adnan","dbo","TblAccidentReportDet","0"
"Adnan","dbo","TblAccountBranch","28"
"Adnan","dbo","TblAccountIntervals","84"
"Adnan","dbo","TblAccountsDestributions","0"
"Adnan","dbo","TblAccountsDestributionsDetails","0"
"Adnan","dbo","TblAccountsDestributionsIntervals","0"
"Adnan","dbo","TblAccountUser","15"
"Adnan","dbo","TblActivateInvestment","0"
"Adnan","dbo","TblActivateInvestmentDet","0"
"Adnan","dbo","tblActivitesType","1"
"Adnan","dbo","TblAddExceptionDays","0"
"Adnan","dbo","TblAdditionsAssest","5"
"Adnan","dbo","TblAdjectiveFarm","0"
"Adnan","dbo","TblAdminSanction","0"
"Adnan","dbo","TblAdvancedHousing","0"
"Adnan","dbo","TblAge","0"
