"DatabaseName","SchemaName","TableName","Rows"
"RSMDB","dbo","MessageTempltes","0"
"RSMDB","dbo","mister_spec","1"
"RSMDB","dbo","mofrad","40"
"RSMDB","dbo","mofrdat","9"
"RSMDB","dbo","mowazna","0"
"RSMDB","dbo","mowazna_details","0"
"RSMDB","dbo","Nationality","13"
"RSMDB","dbo","new_members","3"
"RSMDB","dbo","NewTempTable","0"
"RSMDB","dbo","Notes","39257"
"RSMDB","dbo","notes_all","5008"
"RSMDB","dbo","Notes1","3"
"RSMDB","dbo","OPERATION_DETAILS","0"
"RSMDB","dbo","OPERATIONS","0"
"RSMDB","dbo","OperationsFollow","0"
"RSMDB","dbo","OperationsFollowDetails","0"
"RSMDB","dbo","opr_Employee","0"
"RSMDB","dbo","opr_employee_details","0"
"RSMDB","dbo","opr_expenses","0"
"RSMDB","dbo","Pmanger","50"
"RSMDB","dbo","posdata","0"
"RSMDB","dbo","project_bill_details","2433"
"RSMDB","dbo","project_billl","47"
"RSMDB","dbo","project_billl_Month","0"
"RSMDB","dbo","project_category","0"
"RSMDB","dbo","project_status","4"
"RSMDB","dbo","ProjectBillBuy","0"
"RSMDB","dbo","ProjectBillBuy1","0"
"RSMDB","dbo","ProjectMainDes","258"
"RSMDB","dbo","ProJectMofrd","0"
"RSMDB","dbo","ProJectMofrdSalar","0"
"RSMDB","dbo","projects","30"
"RSMDB","dbo","projects_des","1960"
"RSMDB","dbo","Projectssub","1"
"RSMDB","dbo","QryEmpSalDetails","0"
"RSMDB","dbo","QryRepEmpAllValues","0"
"RSMDB","dbo","ready_to_print","21"
"RSMDB","dbo","ReceiptQest","0"
"RSMDB","dbo","ReciveDetails","8192"
"RSMDB","dbo","relations","2"
"RSMDB","dbo","renew_member","0"
"RSMDB","dbo","salary_voucher","0"
"RSMDB","dbo","sanad_dean","1"
"RSMDB","dbo","sanad_numbering","167"
"RSMDB","dbo","sandat_ked","0"
"RSMDB","dbo","sandat_ked_details","0"
"RSMDB","dbo","Schoolyears","0"
"RSMDB","dbo","ScreenJuncUser","7733"
"RSMDB","dbo","Screens","691"
"RSMDB","dbo","SendMessage","0"
"RSMDB","dbo","services","4"
"RSMDB","dbo","SessionDate","0"
"RSMDB","dbo","ShiftMaintType","0"
"RSMDB","dbo","ShiftRec","0"
"RSMDB","dbo","Shipment_mode","3"
"RSMDB","dbo","Shipments","0"
"RSMDB","dbo","Shipments_details","0"
"RSMDB","dbo","SPHTable","161"
"RSMDB","dbo","Stables","0"
"RSMDB","dbo","STOP_MEMBER_TYPE","3"
"RSMDB","dbo","streets","0"
"RSMDB","dbo","SubcontractorContract","0"
