"TableName","IndexName","Seeks","Scans","Lookups","Updates"
"dbo.Transactions","PK_Transactions","124435","335","199525","55221"
"dbo.SerialTableMapping","PK__SerialTa__8B5781BD0289B981","0","110830","0","0"
"dbo.SerialCounters_V2","PK__SerialCo__F12879E41225F20D","0","1","55355","55475"
"dbo.Transaction_Details","IX_Transaction_Details","22","130","42039","27626"
"dbo.TblBoxesData","PK_TblBoxesData","55644","41958","0","0"
"dbo.branches","","0","41466","0","0"
"dbo.ACCOUNTS","PK_ACCOUNTS","0","54","27461","25"
"dbo.currency","","0","15967","0","0"
"dbo.TblOptions","","0","14662","0","0"
"dbo.DOUBLE_ENTREY_VOUCHERS","PK_DOUBLE_ENTREY_VOUCHERS","13792","41","14163","13863"
"dbo.TblSettsReqLimK","PK__TblSetts__3214EC27E0CBFF68","0","13828","0","0"
"dbo.TblItems","PK_TblItems","42818","1224","0","1"
"dbo.TblUnites","","0","994","0","0"
"dbo.TblItemsUnits","","0","968","0","0"
"dbo.TblBranchesData","PK__TblBranchesData__7267B045","198955","964","0","0"
"dbo.tblOptionsCash","PK__tblOptio__3214EC27BAD1F009","0","597","0","0"
"dbo.tblItemsCash","PK__tblItems__3214EC275F773895","0","409","0","0"
"dbo.TblSpecification","PK__TblSpecification__3BC31D7F","0","374","0","0"
"dbo.TblBranchesData","IDX_TblBranchesData_Branch_ID_Code","0","299","0","0"
"dbo.TblStore","PK_TblStore","27875","294","0","0"
"dbo.TblPaymentType","PK__TblPaymentType__14BCC849","146","282","0","0"
"dbo.TblPaymentUser","PK__TblPayme__3214EC27C8EF352E","0","280","0","0"
"dbo.TblUsers","PK_TblUsers","83488","103","155","2"
"dbo.BanksData","PK_BanksData","41794","186","0","0"
"dbo.ScreenJuncUser","CIX_ScreenJuncUser","0","0","159","0"
"dbo.TblCusCsh","<cardIndex, sysname,>","4","148","0","15"
"dbo.TblUsersBoxes","PK__TblUsers__3213E83F9FDE57BE","0","114","4","0"
"dbo.Notes","PK_Notes","41468","51","65","27634"
"dbo.TblEmployee","PK_TblEmployee","604","97","12","0"
"dbo.TblyearsData","PK__TblyearsData__571F8883","0","70","0","0"
