
TableName                         column_id ColumnName                         TypeName        
DOUBLE_ENTREY_VOUCHERS                   74 Rate2                              float           
DOUBLE_ENTREY_VOUCHERS                   75 CusVATNO                           nvarchar        
DOUBLE_ENTREY_VOUCHERS                   76 SupplierName                       nvarchar        
DOUBLE_ENTREY_VOUCHERS                   77 DescAccount                        nvarchar        
DOUBLE_ENTREY_VOUCHERS                   78 NextAccount_Code                   nvarchar        
DOUBLE_ENTREY_VOUCHERS                   79 SessionCode                        nvarchar        
DOUBLE_ENTREY_VOUCHERS                   80 VATYou                             float           
DOUBLE_ENTREY_VOUCHERS                   81 DueDate                            datetime        
DOUBLE_ENTREY_VOUCHERS                   82 IsHidden                           int             
DOUBLE_ENTREY_VOUCHERS                   83 IsHiddenInv                        bit             
DOUBLE_ENTREY_VOUCHERS                   84 IsExpens                           bit             
DOUBLE_ENTREY_VOUCHERS                   85 uintid                             int             
DOUBLE_ENTREY_VOUCHERS                   86 mType                              int             
DOUBLE_ENTREY_VOUCHERS                   87 iqarid                             int             
DOUBLE_ENTREY_VOUCHERS                   88 RelatedEntityType                  int             
DOUBLE_ENTREY_VOUCHERS                   89 RelatedEntityID                    int             
Notes                                     1 NoteID                             int             
Notes                                     2 NoteDate                           smalldatetime   
Notes                                     3 NoteType                           int             
Notes                                     4 NoteSerial                         float           
Notes                                     5 NoteSerial1                        float           
Notes                                     6 Note_Value                         float           
Notes                                     7 BankID                             int             
Notes                                     8 ChqueNum                           nvarchar        
Notes                                     9 DueDate                            smalldatetime   
Notes                                    10 NoteHijriDate                      nvarchar        
Notes                                    11 Transaction_ID                     int             
Notes                                    12 MaintananceID                      int             
Notes                                    13 Member_ID                          int             
Notes                                    14 UserID                             int             
Notes                                    15 Remark                             nvarchar        
Notes                                    16 ExpensesID                         int             
Notes                                    17 CashingType                        int             
Notes                                    18 CusID                              int             
Notes                                    19 BoxID                              int             
Notes                                    20 RevenuesID                         int             
Notes                                    21 RetrunNoteID                       int             
Notes                                    22 NoteCashingType                    int             
Notes                                    23 NotePosted                         int             
Notes                                    24 PostedBy                           int             
Notes                                    25 PostDate                           datetime        
Notes                                    26 NumOrderInpot                      nvarchar        
Notes                                    27 Buy                                char            
Notes                                    28 ked_type                           nvarchar        
Notes                                    29 numbering_type                     int             
Notes                                    30 sanad_year                         int             
Notes                                    31 sanad_month                        int             
Notes                                    32 type                               nvarchar        
Notes                                    33 branch_no                          int             
Notes                                    34 user_name                          nvarchar        
Notes                                    35 DEPARTEMENT                        nvarchar        
Notes                                    36 sanad_type                         nvarchar        
Notes                                    37 sanad_source                       nvarchar        
Notes                                    38 Double_Entry_Vouchers_ID           int             
